name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Bulawayo, Zimbabwe",2026-05-07T00:00:00,13.8,13.8,10.4,79.95,0,0,,0,0,16.2,9.7,197.7,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T01:00:00,12.8,12.8,8.8,76.64,0,0,,0,0,15.8,10.1,196,1016,0.3,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T02:00:00,11.8,11.8,7.8,76.48,0,0,,0,0,16.2,10.4,193.7,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T03:00:00,9.8,8.2,5.3,73.56,0,0,,0,0,17.3,11.2,189.9,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T04:00:00,8.9,7.1,4.5,73.91,0,0,,0,0,18,11.2,186.6,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T05:00:00,8.4,6.6,3,68.79,0,0,,0,0,18.4,10.4,183,1017,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T06:00:00,9.1,7.6,4.1,70.9,0,0,,0,0,17.3,9.4,170,1017,0,24.1,0,0,0,10,Clear,clear-night,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T07:00:00,10.1,10.1,5.1,71.1,0,0,,0,0,16.2,11.2,160,1018,0,24.1,19.5,0.1,0,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T08:00:00,13.1,13.1,5.1,58.31,0,0,,0,0,23,9.4,170,1019,0,24.1,193.4,0.7,2,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T09:00:00,17.1,17.1,4.1,42.04,0,0,,0,0,24.8,13,200,1019,0,24.1,423.6,1.5,4,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T10:00:00,18.1,18.1,4.1,39.47,0,0,,0,0,24.1,9.4,230,1018,0,24.1,621.1,2.2,6,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T11:00:00,21.1,21.1,4.1,32.76,0,0,,0,0,20.9,5.4,241.1,1017,0,24.1,764.7,2.8,8,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T12:00:00,21.1,21.1,3.1,30.53,0,0,,0,0,22.7,7.6,264.3,1016,0,24.1,842.4,3,8,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T13:00:00,23.1,23.1,4.1,29,0,0,,0,0,27.4,13,290,1015,0,24.1,845.6,3,8,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T14:00:00,24.1,24.1,3.1,25.45,0,0,,0,0,30.6,9.4,270,1014,0,24.1,774.7,2.8,8,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T15:00:00,24.1,24.1,3.1,25.45,0,0,,0,0,31.3,7.6,310,1013,0,24.1,636.4,2.3,6,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T16:00:00,22.2,22.2,2.3,26.97,0,0,,0,0,30.6,12.2,267.7,1014,0,24.1,443.3,1.6,4,10,Clear,clear-day,
"Bulawayo, Zimbabwe",2026-05-07T17:00:00,22.1,22.1,2.1,26.75,0,0,,0,0,27.4,11.2,300,1014,0,24.1,217.5,0.8,2,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T18:00:00,18.1,18.1,2.1,34.26,0,0,,0,0,18,9.4,280,1015,0,24.1,28.2,0.1,0,10,Clear,clear-night,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-07T19:00:00,16.1,16.1,4.3,45.43,0,0,,0,0,13.3,7.9,218.7,1015,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T20:00:00,13.1,13.1,4.1,54.38,0,0,,0,0,13.3,8.6,210.7,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T21:00:00,11.3,11.3,3.4,58.27,0,0,,0,0,15.5,9.4,206.3,1017,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T22:00:00,10,8.6,3.3,63.09,0,0,,0,0,13.7,9.7,204.7,1017,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-07T23:00:00,8.5,6.8,1.7,62.29,0,0,,0,0,14,9.7,203.5,1017,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-08T00:00:00,7.9,6.1,1.5,63.96,0,0,,0,0,14.4,10.1,194.9,1017,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-08T01:00:00,7.8,5.9,1.4,63.94,0,0,,0,0,14.4,10.4,192.8,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-08T02:00:00,6,3.7,0.5,67.8,0,0,,0,0,14.8,10.4,192.5,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-08T03:00:00,5.3,2.9,-0.1,68.14,0,0,,0,0,14.8,10.4,188.7,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-08T04:00:00,4.9,2.4,-0.3,69.06,0,0,,0,0,14.8,10.4,184.4,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Bulawayo, Zimbabwe",2026-05-08T05:00:00,8.1,7.4,0.1,57.04,0,0,,0,0,15.1,5.4,140,1017,0,24.1,0,0,0,10,Clear,clear-night,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T06:00:00,7.1,5.7,1.1,65.64,0,0,,0,0,15.1,7.6,130,1017,0,24.1,0,0,0,10,Clear,clear-night,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T07:00:00,8.4,7.2,1.1,60.07,0,0,,0,0,14.8,7.6,160.5,1018,0,24.1,19.9,0.1,0,10,Clear,clear-day,
"Bulawayo, Zimbabwe",2026-05-08T08:00:00,15.1,15.1,5.1,51.22,0,0,,0,0,17.3,9.4,150,1019,0,24.1,198.3,0.7,2,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T09:00:00,18.1,18.1,5.1,42.33,0,0,,0,0,22,13,160,1019,0,24.1,427.6,1.5,4,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T10:00:00,19.1,19.1,5.1,39.76,0,0,,0,0,22.7,9.4,140,1019,0,24.1,625.8,2.3,6,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T11:00:00,22.1,22.1,4.1,30.82,0,0,,0,0,20.5,3.6,190,1018,0,24.1,769.7,2.8,8,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T12:00:00,23.1,23.1,2.1,25.17,0,0,,0,0,17.3,14.8,360,1017,0,24.1,845.9,3,8,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T13:00:00,24.1,24.1,1.1,22.06,0,0,,0,0,18.4,7.6,340,1015,0,24.1,847.7,3.1,8,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T14:00:00,25.1,25.1,0.1,19.34,0,0,,0,0,19.4,14.8,350,1014,0,24.1,775.7,2.8,8,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T15:00:00,25.1,25.1,0.1,19.34,0,0,,0,0,19.4,20.5,350,1014,0,24.1,636.3,2.3,6,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T16:00:00,25.1,25.1,-0.9,17.98,0,0,,0,0,19.4,9.4,310,1014,0,24.1,442.4,1.6,4,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T17:00:00,24.1,24.1,0.1,20.53,0,0,,0,0,16.6,7.6,300,1014,0,24.1,215.9,0.8,2,10,Clear,clear-day,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T18:00:00,19.1,19.1,2.1,32.19,0,0,,0,0,9.7,5.4,330,1014,0,24.1,27.3,0.1,0,10,Clear,clear-night,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T19:00:00,16.1,16.1,2.1,38.89,0,0,,0,0,11.2,5.4,350,1015,0,24.1,0,0,0,10,Clear,clear-night,ZII0000FVJN
"Bulawayo, Zimbabwe",2026-05-08T20:00:00,14.1,14.1,2.1,44.23,0,0,,0,0,13.7,9.4,360,1016,0,24.1,0,0,0,10,Clear,clear-night,ZII0000FVJN
