name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Harare, Zimbabwe",2026-05-07T00:00:00,17.1,17.1,12.1,72.41,0,0,,0,0,10.1,0,0,1013,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T01:00:00,15.1,15.1,12.1,82.27,0,0,,0,0,10.1,0,0,1013,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T02:00:00,16.1,16.1,13.1,82.39,0,0,,0,0,9.4,0,0,1012,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T03:00:00,16.1,16.1,12.1,77.16,0,0,,0,0,8.6,9.4,100,1012,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T04:00:00,16.1,16.1,12.1,77.16,0,0,,0,0,7.9,9.4,100,1013,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T05:00:00,15.1,15.1,13.1,87.84,0,0,,0,0,9,1.8,38.8,1013,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T06:00:00,14.1,14.1,12.1,87.75,0,0,,0,0,10.1,3.6,80,1013,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T07:00:00,15.1,15.1,14.1,93.75,0,0,,0,0,11.9,0,0,1014,0,24.1,38,0.1,0,0,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T08:00:00,21.7,21.7,13.6,59.98,0,0,,0,0,14.8,5.4,90,1015,0,24.1,183.6,0.7,2,0,Clear,clear-day,"ZII0000FVRG,ZIM00067774"
"Harare, Zimbabwe",2026-05-07T09:00:00,24.1,24.1,12.1,47.03,0,0,,0,0,18.4,7.6,50,1015,0,24.1,430.4,1.5,4,0,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T10:00:00,25.1,25.1,13.1,47.3,0,0,,0,0,22.7,16.6,360,1015,0,24.1,597.9,2.2,6,0,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T11:00:00,25.1,25.1,13.1,47.3,0,0,,0,0,26.6,14.8,350,1014,0,24.1,736.2,2.7,7,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T12:00:00,27.1,27.2,14.1,44.84,0,0,rain,0,0,28.4,11.2,10,1013,0,24.1,663.9,2.4,7,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T13:00:00,27.1,26.6,10.1,34.46,0,0,,0,0,28.4,18.4,340,1012,0,24.1,581.3,2.1,6,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T14:00:00,27.1,27,13.1,42.02,0.1,0,rain,0,0,28.1,13,20,1011,0,24.1,494.3,1.8,5,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T15:00:00,28.1,27.9,14.1,42.3,0.1,0,rain,0,0,28.1,18.4,330,1011,0,24.1,457.3,1.6,5,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T16:00:00,25.8,25.8,14.9,50.99,0,0,,0,0,27.4,11.2,289.4,1012,65.2,24.1,253.4,0.9,3,10,Partially cloudy,partly-cloudy-day,
"Harare, Zimbabwe",2026-05-07T17:00:00,27.1,26.9,12.1,39.35,0,0,,0,0,24.8,16.6,320,1012,0,24.1,76.8,0.3,1,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T18:00:00,24.1,24.1,13.1,50.21,0,0,,0,0,17.3,20.5,257.7,1013,0,24.1,11.7,0,0,10,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T19:00:00,21.1,21.1,13.1,60.25,0,0,,0,0,13,11.2,270,1013,0,24.1,0,0,0,10,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T20:00:00,19.1,19.1,13.1,68.19,0,0,,0,0,11.9,7.6,250,1014,0,24.1,0,0,0,10,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T21:00:00,16.1,16.1,13.1,82.39,0,0,,0,0,11.9,5.4,190,1015,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T22:00:00,16.1,16.1,12.1,77.16,0,0,,0,0,12.2,0,0,1015,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-07T23:00:00,15.1,15.1,12.1,82.27,0,0,,0,0,12.6,3.6,100,1015,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T00:00:00,14.1,14.1,13.1,93.7,0,0,,0,0,12.6,0,0,1015,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T01:00:00,15.1,15.1,13.1,87.84,0,0,,0,0,11.2,0,0,1015,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T02:00:00,15.1,15.1,14.1,93.75,0,0,,0,0,10.8,3.6,80,1015,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T03:00:00,16.1,16.1,14.7,91.41,0,0,,0,0,9,5,142,1015,46.9,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Harare, Zimbabwe",2026-05-08T04:00:00,14.1,14.1,13.1,93.7,0,0,,0,0,6.5,7.6,90,1015,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T05:00:00,14.1,14.1,13.1,93.7,0,0,,0,0,6.8,7.6,90,1015,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T06:00:00,13.1,13.1,13.1,100,0,0,,0,0,9,5.4,160,1016,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T07:00:00,14.1,14.1,13.1,93.7,0,0,,0,0,11.5,5.4,110,1016,0,24.1,40.2,0.1,0,0,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T08:00:00,19.6,19.6,15.5,77.4,0,0,,0,0,19.1,3.6,44.4,1017,0,24.1,238,0.9,2,0,Clear,clear-day,"ZII0000FVRG,ZIM00067774"
"Harare, Zimbabwe",2026-05-08T09:00:00,22.1,22.1,16.1,68.78,0,0,,0,0,26.6,9.4,60,1017,0,24.1,461.1,1.7,5,0,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T10:00:00,23.1,23.1,15.1,60.71,0,0,,0,0,30.6,9.4,50,1017,0,24.1,640.5,2.3,6,0,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T11:00:00,24.1,24.1,15.1,57.16,0.1,0,rain,0,0,32,16.6,80,1016,0,24.1,751.1,2.7,8,0,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T12:00:00,25.1,25.1,15.1,53.84,0.1,0,rain,0,0,31.3,9.4,60,1015,0,24.1,587.4,2.1,6,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T13:00:00,25.1,25.1,15.1,53.84,0.1,0,rain,0,0,29.5,13,20,1014,0,24.1,524.2,1.9,5,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T14:00:00,26.1,26.1,14.1,47.57,0.2,0,rain,0,0,28.4,13,40,1013,0,24.1,526.9,1.9,5,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T15:00:00,27.1,27,13.1,42.02,0.1,0,rain,0,0,28.1,16.6,360,1013,0,24.1,382,1.4,4,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T16:00:00,21.1,21.1,17.1,77.92,0,0,,0,0,25.6,11.2,351.7,1014,0,24.1,333.6,1.2,3,10,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T17:00:00,20.1,20.1,17.1,82.88,0,0,,0,0,20.9,9.4,100,1014,0,24.1,127.8,0.5,1,0,Clear,clear-day,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T18:00:00,20.1,20.1,17.1,82.88,0.1,0,rain,0,0,13,7.6,70,1014,0,24.1,11.5,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T19:00:00,19.1,19.1,16.1,82.76,0.1,0,rain,0,0,15.1,7.6,70,1015,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
"Harare, Zimbabwe",2026-05-08T20:00:00,18.1,18.1,13.1,72.59,0,0,,0,0,15.5,9.4,30,1016,0,24.1,0,0,0,0,Clear,clear-night,ZII0000FVRG
