soil_moisture,temperature,humidity,wind_speed,rain_intensity,vpd,needs_watering_soon
57.35,22.94,52.66,0.0,0.0,0.0,1
54.47,23.69,50.78,0.0,0.0,0.0,1
51.38,24.3,49.24,0.0,0.0,0.0,1
48.1,24.87,47.82,0.0,0.0,0.0,1
44.59,25.51,46.21,0.0,0.0,0.0,1
40.85,26.1,44.74,0.0,0.0,0.0,1
36.8,26.87,42.83,0.0,0.0,0.0,1
32.52,27.42,41.44,0.0,0.0,0.0,1
27.89,28.21,39.47,0.0,0.0,0.0,1
23.18,28.39,39.03,0.0,0.0,0.0,1
18.13,29.07,37.32,0.0,0.0,0.0,1
13.03,29.2,36.99,0.0,0.0,0.0,1
7.68,29.67,35.82,0.0,0.0,0.0,1
2.24,29.86,35.35,0.0,0.0,0.0,1
0.0,29.83,35.42,0.0,0.0,0.0,1
57.26,23.24,51.89,0.0,0.0,0.0,1
54.33,23.81,50.47,0.0,0.0,0.0,1
51.25,24.3,49.25,0.0,0.0,0.0,1
47.99,24.81,47.98,0.0,0.0,0.0,1
44.42,25.67,45.83,0.0,0.0,0.0,1
40.66,26.17,44.57,0.0,0.0,0.0,1
36.66,26.75,43.12,0.0,0.0,0.0,1
32.27,27.66,40.84,0.0,0.0,0.0,1
27.81,27.85,40.37,0.0,0.0,0.0,1
22.96,28.67,38.33,0.0,0.0,0.0,1
17.87,29.16,37.09,0.0,0.0,0.0,1
12.75,29.22,36.95,0.0,0.0,0.0,1
7.51,29.47,36.33,0.0,0.0,0.0,1
2.12,29.76,35.6,0.0,0.0,0.0,1
0.0,30.05,34.87,0.0,0.0,0.0,1
24.41,30.14,34.64,0.0,0.0,0.0,1
19.0,29.8,35.5,0.0,0.0,0.0,1
13.52,29.92,35.2,0.0,0.0,0.0,1
8.16,29.7,35.74,0.0,0.0,0.0,1
2.99,29.33,36.68,0.0,0.0,0.0,1
0.0,29.11,37.23,0.0,0.0,0.0,1
0.0,28.67,38.32,0.0,0.0,0.0,1
0.0,28.22,39.44,0.0,0.0,0.0,1
0.0,27.38,41.56,0.0,0.0,0.0,1
0.0,27.02,42.45,0.0,0.0,0.0,1
0.0,26.47,43.83,0.0,0.0,0.0,1
0.0,25.69,45.76,0.0,0.0,0.0,1
0.0,24.83,47.93,0.0,0.0,0.0,1
0.0,24.41,48.97,0.0,0.0,0.0,1
0.0,23.55,51.12,0.0,0.0,0.0,1
0.0,22.91,52.72,0.0,0.0,0.0,1
27.46,22.55,53.62,0.0,0.0,0.0,1
25.06,22.09,54.77,0.0,0.0,0.0,1
22.82,21.5,56.26,0.0,0.0,0.0,1
20.74,20.84,57.91,0.0,0.0,0.0,1
18.74,20.54,58.66,0.0,0.0,0.0,1
16.76,20.47,58.84,0.0,0.0,0.0,1
14.83,20.25,59.38,0.0,0.0,0.0,1
12.92,20.19,59.52,0.0,0.0,0.0,1
11.02,20.12,59.7,0.0,0.0,0.0,1
9.11,20.18,59.55,0.0,0.0,0.0,1
7.23,20.03,59.94,0.0,0.0,0.0,1
5.31,20.21,59.48,0.0,0.0,0.0,1
3.31,20.56,58.6,0.0,0.0,0.0,1
1.21,20.94,57.65,0.0,0.0,0.0,1
0.0,21.37,56.57,0.0,0.0,0.0,1
0.0,22.09,54.78,0.0,0.0,0.0,1
27.45,22.59,53.53,0.0,0.0,0.0,1
24.7,23.28,51.81,0.0,0.0,0.0,1
21.78,23.81,50.47,0.0,0.0,0.0,1
18.73,24.2,49.5,0.0,0.0,0.0,1
15.37,25.09,47.28,0.0,0.0,0.0,1
11.84,25.55,46.14,0.0,0.0,0.0,1
8.1,26.13,44.67,0.0,0.0,0.0,1
4.08,26.8,42.99,0.0,0.0,0.0,1
0.0,27.57,41.07,0.0,0.0,0.0,1
0.0,28.19,39.53,0.0,0.0,0.0,1
0.0,28.42,38.94,0.0,0.0,0.0,1
0.0,28.94,37.65,0.0,0.0,0.0,1
0.0,29.36,36.6,0.0,0.0,0.0,1
0.0,29.8,35.51,0.0,0.0,0.0,1
0.0,29.79,35.54,0.0,0.0,0.0,1
0.0,29.78,35.55,0.0,0.0,0.0,1
24.45,30.07,34.82,0.0,0.0,0.0,1
18.87,30.12,34.7,0.0,0.0,0.0,1
13.41,29.88,35.3,0.0,0.0,0.0,1
8.09,29.62,35.94,0.0,0.0,0.0,1
2.99,29.19,37.02,0.0,0.0,0.0,1
0.0,28.96,37.6,0.0,0.0,0.0,1
0.0,28.54,38.65,0.0,0.0,0.0,1
0.0,28.24,39.4,0.0,0.0,0.0,1
0.0,27.35,41.61,0.0,0.0,0.0,1
0.0,26.96,42.59,0.0,0.0,0.0,1
0.0,26.25,44.37,0.0,0.0,0.0,1
0.0,25.65,45.87,0.0,0.0,0.0,1
0.0,24.87,47.83,0.0,0.0,0.0,1
0.0,24.35,49.12,0.0,0.0,0.0,1
0.0,23.57,51.07,0.0,0.0,0.0,1
0.0,23.21,51.98,0.0,0.0,0.0,1
27.45,22.61,53.47,0.0,0.0,0.0,1
25.03,22.12,54.7,0.0,0.0,0.0,1
22.76,21.59,56.02,0.0,0.0,0.0,1
20.66,20.96,57.59,0.0,0.0,0.0,1
18.65,20.59,58.52,0.0,0.0,0.0,1
16.68,20.42,58.95,0.0,0.0,0.0,1
14.76,20.19,59.52,0.0,0.0,0.0,1
12.84,20.2,59.51,0.0,0.0,0.0,1
11.01,19.84,60.39,0.0,0.0,0.0,1
9.14,20.0,59.99,0.0,0.0,0.0,1
7.21,20.24,59.39,0.0,0.0,0.0,1
5.24,20.43,58.92,0.0,0.0,0.0,1
3.24,20.54,58.65,0.0,0.0,0.0,1
1.1,21.09,57.29,0.0,0.0,0.0,1
0.0,21.51,56.21,0.0,0.0,0.0,1
0.0,22.07,54.83,0.0,0.0,0.0,1
27.52,22.34,54.15,0.0,0.0,0.0,1
24.84,23.04,52.41,0.0,0.0,0.0,1
21.99,23.6,51.0,0.0,0.0,0.0,1
18.9,24.32,49.2,0.0,0.0,0.0,1
15.6,24.94,47.65,0.0,0.0,0.0,1
12.05,25.59,46.02,0.0,0.0,0.0,1
8.22,26.34,44.14,0.0,0.0,0.0,1
4.18,26.85,42.88,0.0,0.0,0.0,1
0.0,27.57,41.08,0.0,0.0,0.0,1
0.0,28.22,39.45,0.0,0.0,0.0,1
0.0,28.36,39.09,0.0,0.0,0.0,1
0.0,28.81,37.97,0.0,0.0,0.0,1
0.0,29.35,36.63,0.0,0.0,0.0,1
0.0,29.74,35.64,0.0,0.0,0.0,1
0.0,29.98,35.06,0.0,0.0,0.0,1
0.0,30.09,34.77,0.0,0.0,0.0,1
24.58,29.81,35.47,0.0,0.0,0.0,1
19.14,29.86,35.35,0.0,0.0,0.0,1
13.69,29.87,35.32,0.0,0.0,0.0,1
8.42,29.53,36.17,0.0,0.0,0.0,1
3.19,29.44,36.39,0.0,0.0,0.0,1
0.0,28.9,37.75,0.0,0.0,0.0,1
0.0,28.44,38.91,0.0,0.0,0.0,1
0.0,28.22,39.45,0.0,0.0,0.0,1
0.0,27.44,41.4,0.0,0.0,0.0,1
0.0,27.03,42.42,0.0,0.0,0.0,1
0.0,26.31,44.24,0.0,0.0,0.0,1
0.0,25.76,45.6,0.0,0.0,0.0,1
0.0,24.94,47.65,0.0,0.0,0.0,1
0.0,24.51,48.72,0.0,0.0,0.0,1
0.0,23.67,50.81,0.0,0.0,0.0,1
0.0,23.24,51.9,0.0,0.0,0.0,1
27.51,22.39,54.02,0.0,0.0,0.0,1
25.18,21.81,55.47,0.0,0.0,0.0,1
22.95,21.46,56.35,0.0,0.0,0.0,1
20.8,21.12,57.2,0.0,0.0,0.0,1
18.82,20.5,58.76,0.0,0.0,0.0,1
16.83,20.48,58.81,0.0,0.0,0.0,1
14.93,20.11,59.72,0.0,0.0,0.0,1
13.02,20.18,59.55,0.0,0.0,0.0,1
11.19,19.83,60.43,0.0,0.0,0.0,1
9.28,20.18,59.56,0.0,0.0,0.0,1
7.41,19.98,60.05,0.0,0.0,0.0,1
5.44,20.45,58.88,0.0,0.0,0.0,1
3.44,20.54,58.65,0.0,0.0,0.0,1
1.34,20.92,57.71,0.0,0.0,0.0,1
0.0,21.52,56.19,0.0,0.0,0.0,1
0.0,22.15,54.63,0.0,0.0,0.0,1
0.0,22.38,54.05,0.0,0.0,0.0,1
27.28,23.18,52.04,0.0,0.0,0.0,1
24.37,23.77,50.58,0.0,0.0,0.0,1
21.28,24.32,49.2,0.0,0.0,0.0,1
17.97,24.93,47.67,0.0,0.0,0.0,1
14.38,25.73,45.67,0.0,0.0,0.0,1
10.54,26.36,44.11,0.0,0.0,0.0,1
6.5,26.86,42.84,0.0,0.0,0.0,1
2.23,27.4,41.51,0.0,0.0,0.0,1
0.0,28.17,39.57,0.0,0.0,0.0,1
0.0,28.4,39.0,0.0,0.0,0.0,1
0.0,29.15,37.11,0.0,0.0,0.0,1
0.0,29.19,37.01,0.0,0.0,0.0,1
