timestamp,soil_moisture,temperature,humidity,vpd,precipitation_chance,forecast_temp,wind_speed,crop_type_id,root_depth_cm,wilting_point_threshold,growth_stage,optimal_vpd_min,optimal_vpd_max,hour,is_daytime,moisture_change_rate,moisture_rolling_6,needs_watering_soon
2024-09-08T09:39:00,21.02,34.2,27.0,3.932,0,38.9,5.3,1,80.0,30.0,2,0.8,2.0,9,1,-12.995,53.5,1
2024-09-08T12:39:00,0.0,38.9,20.0,5.556,0,33.3,3.1,1,80.0,30.0,2,0.8,2.0,12,1,-7.005,43.5,1
2024-09-08T15:39:00,0.0,33.3,21.1,4.034,0,25.3,2.8,1,80.0,30.0,2,0.8,2.0,15,1,0.0,33.5,1
2024-09-08T18:39:00,0.0,25.3,43.9,1.811,0,19.9,20.5,1,80.0,30.0,2,0.8,2.0,18,1,0.0,23.5,1
2024-09-08T21:39:00,0.0,19.9,40.6,1.379,0,14.0,12.4,1,80.0,30.0,2,0.8,2.0,21,0,0.0,13.5,1
2024-09-09T00:39:00,0.0,14.0,61.6,0.615,0,21.3,2.1,1,80.0,30.0,2,0.8,2.0,0,0,0.0,3.5,1
2024-09-09T03:39:00,0.0,21.3,54.2,1.16,85,26.2,20.9,1,80.0,30.0,2,0.8,2.0,3,0,0.0,0.0,1
2024-09-09T06:39:00,0.0,26.2,45.5,1.852,70,30.8,8.4,1,80.0,30.0,2,0.8,2.0,6,1,0.0,0.0,1
2024-09-09T09:39:00,0.0,30.8,20.0,3.545,55,34.0,20.9,1,80.0,30.0,2,0.8,2.0,9,1,0.0,0.0,1
2024-09-09T12:39:00,0.0,34.0,25.1,3.984,40,34.2,5.2,1,80.0,30.0,2,0.8,2.0,12,1,0.0,0.0,1
2024-09-09T15:39:00,17.44,34.2,25.0,4.045,0,26.4,10.0,1,80.0,30.0,2,0.8,2.0,15,1,5.813,2.91,1
2024-09-09T18:39:00,0.0,26.4,40.0,2.065,0,19.4,8.5,1,80.0,30.0,2,0.8,2.0,18,1,-5.813,2.91,1
2024-09-09T21:39:00,0.0,19.4,53.2,1.056,0,16.7,4.7,1,80.0,30.0,2,0.8,2.0,21,0,0.0,2.91,1
2024-09-10T00:39:00,0.0,16.7,48.6,0.976,85,18.3,21.7,1,80.0,30.0,2,0.8,2.0,0,0,0.0,2.91,1
2024-09-10T03:39:00,0.0,18.3,51.0,1.027,70,28.3,5.7,1,80.0,30.0,2,0.8,2.0,3,0,0.0,2.91,1
2024-09-10T06:39:00,0.0,28.3,27.9,2.772,55,34.5,10.8,1,80.0,30.0,2,0.8,2.0,6,1,0.0,2.91,1
2024-09-10T09:39:00,0.0,34.5,26.0,4.045,40,36.1,12.3,1,80.0,30.0,2,0.8,2.0,9,1,0.0,0.0,1
2024-09-10T12:39:00,27.22,36.1,30.7,4.134,0,30.8,6.1,1,80.0,30.0,2,0.8,2.0,12,1,9.073,4.54,1
2024-09-10T15:39:00,0.0,30.8,28.7,3.175,0,24.3,6.5,1,80.0,30.0,2,0.8,2.0,15,1,-9.073,4.54,1
2024-09-10T18:39:00,0.0,24.3,38.5,1.873,0,18.8,14.8,1,80.0,30.0,2,0.8,2.0,18,1,0.0,4.54,1
2024-09-10T21:39:00,0.0,18.8,62.6,0.811,0,18.8,16.5,1,80.0,30.0,2,0.8,2.0,21,0,0.0,4.54,1
2024-09-11T00:39:00,0.0,18.8,61.6,0.834,0,19.3,7.2,1,80.0,30.0,2,0.8,2.0,0,0,0.0,4.54,1
2024-09-11T03:39:00,0.0,19.3,54.8,1.015,0,23.4,3.1,1,80.0,30.0,2,0.8,2.0,3,0,0.0,4.54,1
2024-09-11T06:39:00,0.0,23.4,51.7,1.39,0,35.7,1.9,1,80.0,30.0,2,0.8,2.0,6,1,0.0,0.0,1
2024-09-11T09:39:00,0.0,35.7,20.1,4.659,85,37.9,15.6,1,80.0,30.0,2,0.8,2.0,9,1,0.0,0.0,1
2024-09-11T12:39:00,0.0,37.9,20.0,5.258,70,33.2,10.0,1,80.0,30.0,2,0.8,2.0,12,1,0.0,0.0,1
2024-09-11T15:39:00,0.0,33.2,23.8,3.884,55,24.9,17.5,1,80.0,30.0,2,0.8,2.0,15,1,0.0,0.0,1
2024-09-11T18:39:00,0.0,24.9,44.1,1.761,40,17.8,14.3,1,80.0,30.0,2,0.8,2.0,18,1,0.0,0.0,1
2024-09-11T21:39:00,4.48,17.8,45.3,1.114,0,18.8,6.9,1,80.0,30.0,2,0.8,2.0,21,0,1.493,0.75,1
2024-09-12T00:39:00,0.0,18.8,54.9,0.977,0,19.6,18.8,1,80.0,30.0,2,0.8,2.0,0,0,-1.493,0.75,1
2024-09-12T03:39:00,0.0,19.6,41.5,1.336,0,26.8,1.5,1,80.0,30.0,2,0.8,2.0,3,0,0.0,0.75,1
