moisture,time_stamp
74.29,12-Jul-2022 00:03:51
74.29,12-Jul-2022 00:23:46
74.29,12-Jul-2022 00:43:41
74.29,12-Jul-2022 01:03:35
73.88,12-Jul-2022 01:23:30
74.29,12-Jul-2022 01:43:25
73.88,12-Jul-2022 02:03:20
73.88,12-Jul-2022 02:23:15
73.47,12-Jul-2022 02:43:10
73.88,12-Jul-2022 03:03:04
73.47,12-Jul-2022 03:22:58
73.47,12-Jul-2022 03:42:54
73.47,12-Jul-2022 04:02:49
73.47,12-Jul-2022 04:22:46
73.47,12-Jul-2022 04:42:41
73.47,12-Jul-2022 05:02:38
73.47,12-Jul-2022 05:22:34
73.06,12-Jul-2022 05:42:29
73.06,12-Jul-2022 06:02:24
73.06,12-Jul-2022 06:22:18
73.06,12-Jul-2022 06:42:12
73.06,12-Jul-2022 07:02:06
72.65,12-Jul-2022 07:22:00
72.65,12-Jul-2022 07:41:53
73.06,12-Jul-2022 08:01:48
72.65,12-Jul-2022 08:21:42
73.06,12-Jul-2022 08:41:38
72.65,12-Jul-2022 09:01:32
73.06,12-Jul-2022 09:21:27
72.65,12-Jul-2022 09:41:21
72.24,12-Jul-2022 10:01:16
72.65,12-Jul-2022 10:21:10
72.65,12-Jul-2022 10:41:05
72.65,12-Jul-2022 11:00:58
72.65,12-Jul-2022 11:20:54
72.24,12-Jul-2022 11:40:49
72.24,12-Jul-2022 12:00:43
72.24,12-Jul-2022 12:20:39
72.24,12-Jul-2022 12:40:33
72.65,12-Jul-2022 13:00:28
72.24,12-Jul-2022 13:20:23
72.24,12-Jul-2022 13:40:18
72.24,12-Jul-2022 14:00:15
72.24,12-Jul-2022 14:20:10
72.24,12-Jul-2022 14:40:05
72.24,12-Jul-2022 15:00:01
72.24,12-Jul-2022 15:19:54
72.24,12-Jul-2022 15:59:46
72.65,12-Jul-2022 16:19:41
72.65,12-Jul-2022 16:39:35
72.24,12-Jul-2022 16:59:30
72.24,12-Jul-2022 17:19:23
72.65,12-Jul-2022 17:39:19
72.24,12-Jul-2022 17:59:15
72.24,12-Jul-2022 18:19:09
72.24,12-Jul-2022 18:39:03
72.24,12-Jul-2022 18:58:57
72.24,12-Jul-2022 19:18:53
72.24,12-Jul-2022 19:38:48
72.24,12-Jul-2022 19:58:40
72.24,12-Jul-2022 20:18:35
72.24,12-Jul-2022 20:38:31
72.24,12-Jul-2022 20:58:23
71.84,12-Jul-2022 21:18:15
72.24,12-Jul-2022 21:38:08
73.88,12-Jul-2022 21:58:03
74.29,12-Jul-2022 22:17:57
73.88,12-Jul-2022 22:37:52
74.29,12-Jul-2022 22:57:47
74.29,12-Jul-2022 23:17:42
73.88,12-Jul-2022 23:37:36
73.88,12-Jul-2022 23:57:30
73.47,13-Jul-2022 00:17:25
73.47,13-Jul-2022 00:37:19
73.88,13-Jul-2022 00:57:14
73.47,13-Jul-2022 01:17:09
73.47,13-Jul-2022 01:37:04
73.06,13-Jul-2022 01:56:59
73.06,13-Jul-2022 02:16:55
73.06,13-Jul-2022 02:36:50
73.06,13-Jul-2022 02:56:44
73.06,13-Jul-2022 03:16:38
73.06,13-Jul-2022 03:36:34
72.65,13-Jul-2022 03:56:28
72.65,13-Jul-2022 04:16:25
72.65,13-Jul-2022 04:36:21
73.06,13-Jul-2022 04:56:15
72.65,13-Jul-2022 05:16:11
72.65,13-Jul-2022 05:36:04
72.65,13-Jul-2022 05:56:00
72.24,13-Jul-2022 06:15:54
72.24,13-Jul-2022 06:35:49
72.65,13-Jul-2022 06:55:43
72.65,13-Jul-2022 07:15:39
72.65,13-Jul-2022 07:35:34
72.65,13-Jul-2022 07:55:29
71.84,13-Jul-2022 08:15:23
