id,device_identifier,ts_generation,co2,humidity,pressure,temperature,battery
31938,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688019286484,635,61,1010.7,24.5,NULL
32234,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688043749456,472,39.5,1010.9,41.2,100
32243,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688044308221,467,46,1010.8,40.2,NULL
32254,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688044908191,463,38,1010.6,39.7,NULL
32264,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688045508203,436,35,1010.6,39.4,NULL
32274,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688046108167,427,33,1010.3,39.8,NULL
32284,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688046708148,450,32.5,1010.1,38.7,NULL
32297,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688047308111,472,30,1010.1,40.6,NULL
32307,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688047908086,442,31.5,1010,35.9,NULL
32316,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688048507727,442,35,1009.9,34.9,NULL
32326,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688049107749,433,35,1009.9,34.7,NULL
32336,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688049707658,443,34.5,1009.7,34.2,NULL
32345,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688050307613,442,35,1009.7,33.6,NULL
32355,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688050907599,433,35,1009.6,33.8,NULL
32365,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688051507573,456,35,1009.5,34.2,NULL
32375,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688052107570,448,34.5,1009.4,34.5,NULL
32387,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688052707537,448,36,1009.2,34.5,NULL
32397,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688053307493,454,35.5,1009.2,34.6,NULL
32408,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1688053907497,428,35,1009,34.6,NULL
