soil_moisture,temperature,humidity,forecast_minutes,hour,day_of_week,is_daytime,is_hot_hours,moisture_change_rate,moisture_rolling_6,temp_rolling_6,needs_watering_soon
58.79,28.72,38.19,0,16,6,1,1,-4.759999999999991,58.79,28.72,0
57.6,28.51,38.72,0,17,6,1,0,-4.759999999999991,58.195,28.615,0
59.4,24.17,79.57,0,17,6,1,0,7.199999999999989,58.59666666666666,27.133333333333336,0
60.4,24.01,79.97,0,17,6,1,0,4.0,59.0475,26.3525,0
62.35,23.61,80.97,0,17,6,1,0,7.800000000000011,59.708000000000006,25.804,0
64.15,23.42,81.44,0,18,6,1,0,7.200000000000017,60.44833333333333,25.406666666666663,0
63.12,27.03,42.41,0,18,6,1,0,-4.120000000000033,61.17,25.125,0
62.11,26.81,42.99,0,18,6,1,0,-4.039999999999992,61.921666666666674,24.84166666666667,0
63.61,22.39,84.02,0,18,6,1,0,6.0,62.62333333333333,24.545,0
67.26,22.22,84.45,0,19,6,0,0,14.600000000000025,63.76666666666667,24.24666666666667,0
69.81,21.9,85.26,0,19,6,0,0,10.199999999999989,65.00999999999999,23.961666666666662,0
73.11,21.61,85.99,0,19,6,0,0,13.199999999999989,66.50333333333333,23.66,0
75.31,21.17,87.08,0,19,6,0,0,8.800000000000011,68.535,22.683333333333334,0
79.01,20.82,87.94,0,20,6,0,0,14.800000000000011,71.35166666666667,21.685,0
80.91,20.5,88.74,0,20,6,0,0,7.599999999999966,74.235,21.37,0
82.31,20.24,89.39,0,20,6,0,0,5.600000000000023,76.74333333333333,21.040000000000003,0
81.57,23.96,50.11,0,20,6,0,0,-2.9600000000000364,78.70333333333333,21.383333333333336,0
80.86,23.53,51.17,0,21,6,0,0,-2.839999999999975,79.995,21.703333333333333,0
80.17,23.29,51.77,0,21,6,0,0,-2.759999999999991,80.805,22.05666666666667,0
79.51,22.89,52.77,0,21,6,0,0,-2.6399999999999864,80.88833333333334,22.401666666666667,0
78.87,22.59,53.52,0,21,6,0,0,-2.5600000000000023,80.54833333333333,22.75,0
78.25,22.39,54.04,0,22,6,0,0,-2.480000000000018,79.87166666666667,23.10833333333333,0
77.64,22.13,54.67,0,22,6,0,0,-2.4399999999999977,79.21666666666667,22.80333333333333,0
77.06,21.86,55.36,0,22,6,0,0,-2.319999999999993,78.58333333333333,22.525,0
76.49,21.65,55.88,0,22,6,0,0,-2.2800000000000296,77.97000000000001,22.251666666666665,0
75.93,21.39,56.53,0,23,6,0,0,-2.2399999999999523,77.37333333333333,22.001666666666665,0
75.4,21.24,56.91,0,23,6,0,0,-2.1200000000000045,76.795,21.776666666666667,0
74.87,21.01,57.49,0,23,6,0,0,-2.1200000000000045,76.23166666666667,21.546666666666667,0
74.36,20.84,57.91,0,23,6,0,0,-2.0400000000000205,75.685,21.331666666666667,0
73.85,20.58,58.56,0,0,0,0,0,-2.0400000000000205,75.14999999999999,21.11833333333333,0
75.65,16.39,99.01,0,0,0,0,0,7.2000000000000455,75.01,20.241666666666667,0
77.65,16.35,99.11,0,0,0,0,0,8.0,75.29666666666667,19.401666666666667,0
80.8,16.27,99.33,0,0,0,0,0,12.599999999999966,76.19666666666667,18.57333333333333,0
84.1,16.06,99.85,0,1,0,0,0,13.199999999999989,77.735,17.74833333333333,0
85.8,16.16,99.6,0,1,0,0,0,6.800000000000011,79.64166666666667,16.968333333333334,0
89.25,16.09,99.77,0,1,0,0,0,13.800000000000011,82.20833333333333,16.22,0
93.0,16.06,99.84,0,1,0,0,0,15.0,85.10000000000001,16.165,0
94.65,16.01,99.98,0,2,0,0,0,6.600000000000023,87.93333333333334,16.108333333333334,0
94.18,20.09,59.76,0,2,0,0,0,-1.879999999999996,90.16333333333334,16.745,0
93.71,20.12,59.71,0,2,0,0,0,-1.8800000000000523,91.765,17.421666666666667,0
93.24,20.19,59.52,0,2,0,0,0,-1.879999999999996,93.005,18.093333333333334,0
97.19,16.16,99.61,0,3,0,0,0,15.800000000000011,94.32833333333332,18.105,0
100.0,16.28,99.31,0,3,0,0,0,11.240000000000007,95.495,18.14166666666667,0
100.0,16.44,98.89,0,3,0,0,0,0.0,96.38666666666666,18.21333333333333,0
100.0,16.55,98.62,0,3,0,0,0,0.0,97.35666666666668,17.62333333333333,0
100.0,16.68,98.29,0,4,0,0,0,0.0,98.40500000000002,17.05,0
100.0,16.99,97.54,0,4,0,0,0,0.0,99.53166666666668,16.51666666666667,0
100.0,17.13,97.19,0,4,0,0,0,0.0,100.0,16.67833333333333,0
100.0,17.41,96.48,0,4,0,0,0,0.0,100.0,16.866666666666664,0
100.0,17.65,95.89,0,5,0,0,0,0.0,100.0,17.06833333333333,0
100.0,17.86,95.35,0,5,0,0,0,0.0,100.0,17.286666666666665,0
100.0,18.06,94.86,0,5,0,0,0,0.0,100.0,17.516666666666666,0
100.0,18.27,94.33,0,5,0,0,0,0.0,100.0,17.73,0
99.36,22.6,53.51,0,6,0,1,0,-2.5600000000000023,99.89333333333332,18.641666666666666,0
98.7,22.93,52.68,0,6,0,1,0,-2.6399999999999864,99.67666666666666,19.561666666666667,0
98.02,23.27,51.81,0,6,0,1,0,-2.720000000000028,99.34666666666668,20.49833333333333,0
100.0,19.56,91.1,0,6,0,1,0,7.920000000000016,99.34666666666668,20.781666666666663,0
100.0,19.74,90.65,0,7,0,1,0,0.0,99.34666666666668,21.061666666666664,0
100.0,20.23,89.43,0,7,0,1,0,0.0,99.34666666666668,21.38833333333333,0
100.0,20.47,88.82,0,7,0,1,0,0.0,99.45333333333332,21.03333333333333,0
100.0,20.71,88.22,0,7,0,1,0,0.0,99.67,20.66333333333333,0
100.0,21.09,87.27,0,8,0,1,0,0.0,100.0,20.3,0
100.0,21.5,86.26,0,8,0,1,0,0.0,100.0,20.62333333333333,0
100.0,21.81,85.49,0,8,0,1,0,0.0,100.0,20.968333333333334,0
99.07,26.15,44.61,0,8,0,1,0,-3.7200000000000273,99.845,21.955,0
98.1,26.38,44.04,0,9,0,1,0,-3.879999999999996,99.52833333333332,22.94,0
97.11,26.65,43.38,0,9,0,1,0,-3.95999999999998,99.04666666666668,23.93,0
96.08,26.95,42.62,0,9,0,1,0,-4.1200000000000045,98.39333333333332,24.906666666666663,0
95.02,27.26,41.86,0,9,0,1,0,-4.240000000000009,97.56333333333332,25.866666666666664,0
93.93,27.64,40.89,0,10,0,1,1,-4.359999999999957,96.55166666666666,26.83833333333333,0
92.8,27.85,40.38,0,10,0,1,1,-4.520000000000039,95.50666666666666,27.121666666666663,0
91.66,28.08,39.8,0,10,0,1,1,-4.560000000000002,94.43333333333334,27.405,0
90.48,28.35,39.11,0,10,0,1,1,-4.71999999999997,93.32833333333332,27.688333333333333,0
89.27,28.7,38.25,0,11,0,1,1,-4.840000000000032,92.19333333333331,27.98,0
88.04,28.79,38.02,0,11,0,1,1,-4.919999999999959,91.03000000000002,28.235000000000003,0
86.78,28.97,37.57,0,11,0,1,1,-5.0400000000000205,89.83833333333332,28.456666666666667,0
85.5,29.31,36.72,0,11,0,1,1,-5.1200000000000045,88.62166666666667,28.7,0
84.21,29.31,36.73,0,12,0,1,1,-5.160000000000025,87.38,28.905,0
82.88,29.6,36.0,0,12,0,1,1,-5.319999999999993,86.11333333333333,29.113333333333333,0
81.55,29.64,35.9,158,12,0,1,1,-5.319999999999993,84.82666666666667,29.27,0
80.2,29.83,35.43,0,12,0,1,1,-5.399999999999977,83.52,29.443333333333328,0
78.84,29.9,35.25,0,13,0,1,1,-5.439999999999998,82.19666666666667,29.598333333333333,0
77.47,29.88,35.31,0,13,0,1,1,-5.480000000000018,80.85833333333333,29.69333333333333,0
